+-------------------+------+------------+----------+-----------+--------------+---------------+--------------+
| Instance type     | vCPU | CPU type   | RAM (GB) | Disk (GB) | Price ($/hr) | Price ($/day) | Price ($/mo) |
| d2.xlarge         | 4    | x86_64     | 30.5     | 6144      |  1.001       | 24.02         | 731.29       |
| i2.xlarge         | 4    | x86_64     | 30.5     | 800       |  1.169       | 28.06         | 854.02       |
| i3.xlarge         | 4    | x86_64     | 30.5     | 950       |  0.558       | 13.39         | 407.65       |
| r3.xlarge         | 4    | x86_64     | 30.5     | 80        |  0.625       | 15            | 456.6        |
| r4.xlarge         | 4    | x86_64     | 30.5     | None      |  0.32        | 7.68          | 233.78       |
| d3.xlarge         | 4    | x86_64     | 32.0     | 5940      |  0.81        | 19.44         | 591.75       |
| i3en.xlarge       | 4    | x86_64     | 32.0     | 2500      |  0.726       | 17.42         | 530.39       |
| i4g.xlarge        | 4    | arm64      | 32.0     | 937       | N/A          | N/A           | N/A          |
| i4i.xlarge        | 4    | x86_64     | 32.0     | 937       |  0.411       | 9.86          | 300.26       |
| r5.xlarge         | 4    | x86_64     | 32.0     | None      |  0.488       | 11.71         | 356.51       |
| r5a.xlarge        | 4    | x86_64     | 32.0     | None      |  0.272       | 6.53          | 198.71       |
| r5ad.xlarge       | 4    | x86_64     | 32.0     | 150       |  0.502       | 12.05         | 366.74       |
| r5b.xlarge        | 4    | x86_64     | 32.0     | None      |  0.54        | 12.96         | 394.5        |
| r5d.xlarge        | 4    | x86_64     | 32.0     | 150       |  0.532       | 12.77         | 388.66       |
| r5dn.xlarge       | 4    | x86_64     | 32.0     | 150       |  0.584       | 14.02         | 426.65       |
| r5n.xlarge        | 4    | x86_64     | 32.0     | None      |  0.54        | 12.96         | 394.5        |
| r6a.xlarge        | 4    | x86_64     | 32.0     | None      |  0.2736      | 6.57          | 199.88       |
| r6g.xlarge        | 4    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| r6gd.xlarge       | 4    | arm64      | 32.0     | 237       | N/A          | N/A           | N/A          |
| r6i.xlarge        | 4    | x86_64     | 32.0     | None      |  0.488       | 11.71         | 356.51       |
| r6id.xlarge       | 4    | x86_64     | 32.0     | 237       |  0.5494      | 13.19         | 401.37       |
| r6idn.xlarge      | 4    | x86_64     | 32.0     | 237       |  0.468       | 11.23         | 341.9        |
| r6in.xlarge       | 4    | x86_64     | 32.0     | None      |  0.41652     | 10            | 304.29       |
| r7g.xlarge        | 4    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| r7gd.xlarge       | 4    | arm64      | 32.0     | 237       | N/A          | N/A           | N/A          |
| r7i.xlarge        | 4    | x86_64     | 32.0     | None      |  0.3192      | 7.66          | 233.19       |
| z1d.xlarge        | 4    | x86_64     | 32.0     | 150       |  0.452       | 10.85         | 330.21       |
| d3en.2xlarge      | 8    | x86_64     | 32.0     | 55920     |  1.318       | 31.63         | 962.88       |
| g4dn.2xlarge      | 8    | x86_64     | 32.0     | 225       |  1.42        | 34.08         | 1037.4       |
| im4gn.2xlarge     | 8    | arm64      | 32.0     | 3750      | N/A          | N/A           | N/A          |
| m4.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.868       | 20.83         | 634.13       |
| m5.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.848       | 20.35         | 619.51       |
| m5a.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.432       | 10.37         | 315.6        |
| m5ad.2xlarge      | 8    | x86_64     | 32.0     | 300       |  0.884       | 21.22         | 645.82       |
| m5d.2xlarge       | 8    | x86_64     | 32.0     | 300       |  0.932       | 22.37         | 680.88       |
| m5dn.2xlarge      | 8    | x86_64     | 32.0     | 300       |  1.036       | 24.86         | 756.86       |
| m5n.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.584       | 14.02         | 426.65       |
| m5zn.2xlarge      | 8    | x86_64     | 32.0     | None      |  1.194       | 28.66         | 872.29       |
| m6a.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.8         | 19.2          | 584.45       |
| m6g.2xlarge       | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| m6gd.2xlarge      | 8    | arm64      | 32.0     | 474       | N/A          | N/A           | N/A          |
| m6i.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.848       | 20.35         | 619.51       |
| m6id.2xlarge      | 8    | x86_64     | 32.0     | 474       |  0.5922      | 14.21         | 432.64       |
| m6idn.2xlarge     | 8    | x86_64     | 32.0     | 474       |  1.14956     | 27.59         | 839.82       |
| m6in.2xlarge      | 8    | x86_64     | 32.0     | None      |  1.05128     | 25.23         | 768.02       |
| m7g.2xlarge       | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| m7gd.2xlarge      | 8    | arm64      | 32.0     | 474       | N/A          | N/A           | N/A          |
| m7i-flex.2xlarge  | 8    | x86_64     | 32.0     | None      |  0.8284      | 19.88         | 605.2        |
| m7i.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.872       | 20.93         | 637.05       |
| t2.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.4672      | 11.21         | 341.32       |
| t3.2xlarge        | 8    | x86_64     | 32.0     | None      |  0.5696      | 13.67         | 416.13       |
| t3a.2xlarge       | 8    | x86_64     | 32.0     | None      |  0.5248      | 12.6          | 383.4        |
| t4g.2xlarge       | 8    | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| mac1.metal        | 12   | x86_64_mac | 32.0     | None      | N/A          | N/A           | N/A          |
| a1.4xlarge        | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| a1.metal          | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| c5.4xlarge        | 16   | x86_64     | 32.0     | None      |  0.784       | 18.82         | 572.76       |
| c5a.4xlarge       | 16   | x86_64     | 32.0     | None      |  1.44        | 34.56         | 1052.01      |
| c5ad.4xlarge      | 16   | x86_64     | 32.0     | 600       |  1.544       | 37.06         | 1127.98      |
| c5d.4xlarge       | 16   | x86_64     | 32.0     | 400       |  0.896       | 21.5          | 654.58       |
| c6a.4xlarge       | 16   | x86_64     | 32.0     | None      |  0.7056      | 16.93         | 515.48       |
| c6g.4xlarge       | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| c6gd.4xlarge      | 16   | arm64      | 32.0     | 950       | N/A          | N/A           | N/A          |
| c6gn.4xlarge      | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| c6i.4xlarge       | 16   | x86_64     | 32.0     | None      |  0.784       | 18.82         | 572.76       |
| c6id.4xlarge      | 16   | x86_64     | 32.0     | 950       |  0.9408      | 22.58         | 687.31       |
| c6in.4xlarge      | 16   | x86_64     | 32.0     | None      |  1.7776      | 42.66         | 1298.64      |
| c7g.4xlarge       | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| c7gd.4xlarge      | 16   | arm64      | 32.0     | 950       | N/A          | N/A           | N/A          |
| c7i-flex.4xlarge  | 16   | x86_64     | 32.0     | None      |  0.7822      | 18.77         | 571.44       |
| c7i.4xlarge       | 16   | x86_64     | 32.0     | None      |  1.5592      | 37.42         | 1139.09      |
| g5g.4xlarge       | 16   | arm64      | 32.0     | None      | N/A          | N/A           | N/A          |
| m2.2xlarge        | 4    | x86_64     | 34.2     | 850       |  0.742       | 17.81         | 542.08       |
| c5n.4xlarge       | 16   | x86_64     | 42.0     | None      |  1.728       | 41.47         | 1262.41      |
| is4gen.2xlarge    | 8    | arm64      | 48.0     | 7500      | N/A          | N/A           | N/A          |
| m5zn.3xlarge      | 12   | x86_64     | 48.0     | None      |  1.791       | 42.98         | 1308.43      |
| inf1.6xlarge      | 24   | x86_64     | 48.0     | None      | N/A          | N/A           | N/A          |
| c3.8xlarge        | 32   | x86_64     | 60.0     | 640       |  3.813       | 91.51         | 2785.63      |
| c4.8xlarge        | 36   | x86_64     | 60.0     | None      |  3.504       | 84.1          | 2559.88      |
| p2.xlarge         | 4    | x86_64     | 61.0     | None      |  1.902       | 45.65         | 1389.53      |
| d2.2xlarge        | 8    | x86_64     | 61.0     | 12288     |  1.961       | 47.06         | 1432.63      |
| i2.2xlarge        | 8    | x86_64     | 61.0     | 1600      |  2.035       | 48.84         | 1486.69      |
| i3.2xlarge        | 8    | x86_64     | 61.0     | 1900      |  1.116       | 26.78         | 815.3        |
| p3.2xlarge        | 8    | x86_64     | 61.0     | None      |  4.234       | 101.62        | 3093.19      |
| r3.2xlarge        | 8    | x86_64     | 61.0     | 160       |  1.25        | 30            | 913.2        |
| r4.2xlarge        | 8    | x86_64     | 61.0     | None      |  0.64        | 15.36         | 467.56       |
| d3.2xlarge        | 8    | x86_64     | 64.0     | 11880     |  1.62        | 38.88         | 1183.51      |
| i3en.2xlarge      | 8    | x86_64     | 64.0     | 5000      |  1.452       | 34.85         | 1060.77      |
| i4g.2xlarge       | 8    | arm64      | 64.0     | 1875      | N/A          | N/A           | N/A          |
| i4i.2xlarge       | 8    | x86_64     | 64.0     | 1875      |  0.823       | 19.75         | 601.25       |
| r5.2xlarge        | 8    | x86_64     | 64.0     | None      |  0.608       | 14.59         | 444.18       |
| r5a.2xlarge       | 8    | x86_64     | 64.0     | None      |  0.912       | 21.89         | 666.27       |
| r5ad.2xlarge      | 8    | x86_64     | 64.0     | 300       |  1.004       | 24.1          | 733.48       |
| r5b.2xlarge       | 8    | x86_64     | 64.0     | None      |  1.08        | 25.92         | 789          |
| r5d.2xlarge       | 8    | x86_64     | 64.0     | 300       |  1.064       | 25.54         | 777.32       |
| r5dn.2xlarge      | 8    | x86_64     | 64.0     | 300       |  1.168       | 28.03         | 853.29       |
| r5n.2xlarge       | 8    | x86_64     | 64.0     | None      |  1.08        | 25.92         | 789          |
| r6a.2xlarge       | 8    | x86_64     | 64.0     | None      |  0.9152      | 21.96         | 668.61       |
